v5,v6,kstot,age,male,toomuchscience,solveprob
17303,20,13,30,0,1,3
17304,20,11,21,1,,
17305,20,6,41,0,,
17307,20,11,71,1,1,1
17308,20,8,62,1,2,2
17309,20,10,15,1,,
17310,20,10,57,1,3,1
17311,20,10,33,1,,
17312,20,9,28,1,2,2
17313,20,8,53,0,3,1
17314,20,11,16,1,,
17315,20,7,49,0,2,1
17316,20,9,44,1,,
17317,20,12,53,0,,
17318,20,12,36,1,,
17319,20,13,30,0,,
17320,20,9,55,0,1,1
17321,20,8,34,0,,
17322,20,11,43,1,,
17323,20,8,61,1,3,0
17325,20,9,55,1,1,0
17326,20,12,43,1,,
17327,20,11,22,0,2,1
17328,20,5,42,0,3,1
17329,20,12,53,1,,
17330,20,12,18,1,,
17331,20,12,41,0,,
17332,20,11,40,0,,
17333,20,10,22,1,2,0
17334,20,7,59,0,,
17335,20,12,42,0,2,2
17336,20,9,21,1,,
17337,20,11,19,1,1,2
17338,20,9,61,1,,
17339,20,12,40,0,3,1
17340,20,6,45,1,3,1
17342,20,11,16,0,2,1
17344,20,8,64,1,,
17345,20,12,,1,2,1
17347,20,11,69,0,2,3
17348,20,5,38,0,2,2
17349,20,11,54,0,,
17350,20,11,46,1,,0
17351,20,11,29,1,,
17353,20,10,21,0,,
17354,20,11,24,1,,
17355,20,8,44,0,,
17357,20,8,54,1,4,2
17358,20,8,25,1,3,0
17359,20,12,35,1,2,0
17360,20,9,65,0,2,3
17361,20,13,64,1,4,3
17362,20,8,62,1,1,0
17364,20,8,57,1,,
17365,20,7,58,0,3,0
17366,20,10,54,1,2,1
17367,20,13,32,1,,
17368,20,11,32,0,1,0
17372,20,13,52,1,,
17373,20,11,48,0,2,0
17375,20,7,61,0,2,1
17378,20,9,16,0,,
17379,20,11,60,1,,
17380,20,8,25,1,3,3
17381,20,8,31,1,,
17383,20,10,64,1,3,3
17384,20,9,45,1,,
17385,20,9,54,0,,
17394,20,10,27,1,,
17397,20,4,46,0,,
17399,20,7,43,1,,
17401,20,9,48,1,,
17402,20,10,68,1,2,2
17403,20,10,69,0,,
17409,20,11,55,1,2,0
17410,20,10,39,1,,
17411,20,5,71,0,,
17412,20,13,48,1,1,3
17415,20,11,40,1,,
17416,20,11,37,0,2,2
17417,20,11,34,0,,
17418,20,12,33,0,2,2
17419,20,11,46,0,,
17420,20,10,57,0,3,2
17421,20,12,41,1,3,3
17422,20,11,22,0,,
17423,20,11,19,0,2,3
17424,20,11,45,1,,
17425,20,10,42,1,,
17426,20,8,37,1,,
17427,20,12,52,1,,
17428,20,10,19,1,,
17429,20,10,29,0,3,1
17430,20,12,17,0,,
17431,20,11,20,0,3,0
17432,20,12,32,0,1,0
17433,20,12,26,0,,
17434,20,8,33,0,3,1
17436,20,11,37,1,1,2
17438,20,12,64,0,,
17439,20,6,72,0,2,1
17440,20,11,40,0,,
17441,20,13,22,0,,
17442,20,11,43,0,2,2
17443,20,13,64,1,,
17447,20,9,54,1,2,0
17449,20,8,50,0,,
17450,20,9,57,1,,
17451,20,10,18,1,,
17453,20,9,32,1,,
17455,20,13,50,1,,
17458,20,12,34,1,2,3
17459,20,11,68,1,,
17460,20,8,50,0,1,1
17461,20,12,32,0,3,1
17462,20,10,41,0,3,1
17463,20,9,66,1,2,2
17464,20,9,27,0,,
17465,20,6,34,0,,
17466,20,11,38,0,2,0
17467,20,10,60,0,,
17468,20,12,49,0,,
17471,20,9,63,1,,
17472,20,10,35,0,2,2
17473,20,9,79,1,3,0
17474,20,10,82,0,,
17475,20,10,53,1,4,0
17476,20,6,25,0,,
17477,20,12,57,0,,
17478,20,11,51,1,3,0
17479,20,9,59,0,,
17480,20,10,56,1,,
17484,20,9,27,0,,
17485,20,10,55,1,,
17486,20,10,59,1,,
17488,20,10,48,1,2,2
17490,20,8,19,1,3,3
17492,20,9,43,0,2,2
17494,20,10,32,0,,
17498,20,13,39,1,,
17499,20,12,57,0,3,0
17500,20,6,54,0,4,0
17501,20,13,59,0,,
17502,20,9,59,0,,
17503,20,8,33,1,3,1
17504,20,12,32,0,3,1
17505,20,10,36,0,,
17506,20,9,27,0,,2
17507,20,12,30,1,4,0
17508,20,8,44,1,2,4
17509,20,10,69,0,,
17510,20,10,28,0,,
17511,20,8,48,1,,
17512,20,11,58,1,,
17513,20,9,34,0,2,1
17514,20,10,44,1,0,0
17515,20,11,44,1,0,0
17516,20,11,32,0,,
17518,20,11,29,1,,
17519,20,7,24,0,,
17520,20,11,23,0,,
17521,20,8,65,0,1,1
17523,20,8,30,0,2,1
17524,20,5,36,1,4,1
17525,20,7,30,1,,
17526,20,9,30,0,,
17527,20,11,70,1,,
17528,20,10,68,0,,
17529,20,11,47,1,,
17530,20,9,65,0,,
17531,20,5,38,0,,
17532,20,10,36,1,,
17533,20,13,50,1,2,1
17534,20,7,31,0,2,3
17535,20,12,16,0,0,1
17537,20,11,27,0,0,3
17538,20,11,40,0,,
17540,20,12,39,1,1,1
17542,20,11,69,1,1,1
17543,20,11,54,0,2,1
17546,20,8,23,0,3,1
17548,20,12,53,1,,
17549,20,10,17,1,2,1
17550,20,8,28,0,,
17551,20,12,38,1,2,3
17552,20,11,21,0,2,0
17553,20,8,28,1,,
17554,20,12,17,0,,
17555,20,12,17,0,2,0
17556,20,9,59,0,3,1
17557,20,10,59,1,,
17558,20,13,20,1,0,3
17559,20,11,40,0,2,3
17560,20,6,48,0,2,2
17561,20,13,29,0,3,2
17562,20,10,59,0,,
17563,20,9,65,0,0,0
17564,20,11,47,0,1,0
17565,20,12,46,1,3,0
17567,20,10,45,1,,
17568,20,12,42,0,1,3
17569,20,8,20,0,,2
17570,20,12,22,0,,
17574,20,12,79,1,3,0
17575,20,9,17,1,,
17576,20,10,60,0,1,1
17577,20,11,69,1,3,1
17578,20,12,32,0,,
17579,20,12,61,1,2,1
17581,20,9,45,1,,
17582,20,13,18,1,1,1
17583,20,12,76,1,4,0
17584,20,12,53,1,2,1
17585,20,11,40,0,1,1
17586,20,13,56,1,3,0
17587,20,5,26,1,3,2
17588,20,9,15,1,,
17589,20,13,39,1,,
17590,20,12,36,0,,
17591,20,11,31,1,,
17592,20,12,55,0,,
17593,20,12,20,0,3,0
17594,20,13,30,0,2,2
17595,20,13,24,1,,
17596,20,13,36,1,,
17597,20,12,52,0,3,1
17598,20,12,33,1,,
17599,20,10,50,0,,
17601,20,12,53,1,,
17602,20,11,51,1,2,0
17603,20,11,51,0,3,1
17604,20,11,48,1,,
17605,20,12,51,1,,
17606,20,11,61,0,3,3
17607,20,13,43,1,,
17608,20,8,69,0,,
17610,20,11,30,0,,
17611,20,13,44,1,,
17612,20,11,32,1,1,4
17613,20,9,21,0,1,2
17616,20,8,48,1,,
17617,20,9,48,1,,
17622,20,11,36,0,,
17624,20,8,35,1,,
17626,20,11,38,0,4,0
17627,20,11,63,0,4,0
17628,20,13,47,1,,
17629,20,13,50,0,2,2
17630,20,11,28,1,,
17631,20,12,38,0,1,0
17632,20,13,46,1,,
17633,20,12,44,1,,
17634,20,11,21,1,,
17635,20,12,79,1,,
17636,20,7,35,0,,
17637,20,13,44,0,3,0
17639,20,6,54,0,,3
17640,20,10,45,1,2,0
17645,20,12,45,1,,
17646,20,12,27,1,,
17647,20,11,25,0,,
17648,20,13,38,1,0,3
17649,20,10,74,0,,
17650,20,13,71,0,1,3
17651,20,11,64,1,4,3
17653,20,12,20,0,,
17654,20,12,48,1,3,1
17655,20,10,31,1,3,0
17656,20,8,56,0,,
17658,20,9,42,1,,1
17659,20,6,41,1,2,2
17660,20,4,67,1,1,3
17661,20,13,19,0,2,1
17662,20,5,46,1,,
17667,20,10,52,1,3,4
17668,20,11,47,1,0,4
17669,20,11,38,0,0,1
17670,20,10,38,1,2,1
17671,20,9,28,0,3,3
17672,20,11,23,0,1,2
17673,20,12,44,0,,
17674,20,11,45,1,2,1
17675,20,13,28,0,3,0
17676,20,12,44,0,3,2
17677,20,13,29,1,2,3
17678,20,11,61,1,3,2
17686,20,9,50,0,,
17687,20,10,18,1,0,2
17688,20,11,49,0,4,1
17689,20,13,42,1,,
17690,20,11,35,0,,
17691,20,12,56,1,,
17692,20,13,42,1,2,0
17693,20,9,48,0,,
17694,20,10,52,1,,
17696,20,11,54,1,,
17697,20,12,65,1,4,0
17698,20,10,31,0,,
17701,20,9,45,0,,
17703,20,13,40,1,,
17704,20,11,49,1,2,3
17705,20,12,48,0,3,0
17706,20,11,50,0,,
17707,20,10,50,0,1,2
17708,20,9,42,0,3,1
17709,20,12,47,0,,
17710,20,11,55,0,1,0
17711,20,11,42,0,2,0
17712,20,5,40,1,3,3
17715,20,10,54,1,,
17716,20,9,40,1,2,1
17719,20,10,54,1,,
17721,20,12,45,1,,
17723,20,11,76,0,,
17724,20,12,55,1,4,0
17725,20,6,57,0,3,1
17726,20,9,70,1,,
17728,20,10,42,1,2,0
17730,20,12,66,1,,
17733,20,8,67,0,,
17734,20,9,59,1,2,0
17736,20,12,42,1,,
17738,20,10,70,1,3,2
17740,20,11,15,1,,
17741,20,4,15,1,,
17742,20,10,54,0,,
17745,20,9,66,0,1,1
17746,20,10,42,1,3,0
17751,20,8,48,0,,
17752,20,8,58,0,,
17753,20,9,72,1,1,1
17755,20,11,40,0,2,3
17756,20,11,76,1,3,3
17758,20,11,51,0,3,1
17760,20,10,32,1,2,1
17761,20,11,34,1,,
17762,20,9,70,0,3,1
17763,20,12,50,1,,
17764,20,13,33,1,2,2
17767,20,9,20,1,3,1
17768,20,12,35,0,2,0
17774,20,8,49,1,,
17775,20,9,46,0,,
17776,20,8,20,0,,
17777,20,12,33,1,4,4
17778,20,12,35,1,2,0
17779,20,12,25,1,,
17780,20,10,21,1,,
17781,20,11,51,0,1,2
17782,20,9,46,0,3,3
17783,20,9,32,0,,
17785,20,9,50,0,3,3
17786,20,10,28,0,3,3
17787,20,8,47,1,,
17788,20,9,48,0,3,3
17789,20,10,62,1,3,1
17791,20,11,69,1,3,2
17792,20,7,46,0,,
17793,20,9,48,0,,
17794,20,10,59,1,3,2
17795,20,11,65,1,,
17796,20,10,57,1,,
17798,20,11,46,1,,
17799,20,7,54,0,,
17800,20,7,26,0,4,4
17801,20,12,54,1,,
17802,20,9,55,0,3,3
17803,20,10,23,1,,
17804,20,9,68,0,2,1
17805,20,9,48,1,,
17806,20,11,18,0,3,3
17808,20,12,56,1,,
17809,20,12,55,0,,
17810,20,12,76,1,3,0
17811,20,12,74,1,1,3
17812,20,9,76,0,2,0
17813,20,11,59,0,1,1
17814,20,6,67,0,,
17823,20,10,16,0,3,1
17824,20,12,64,1,2,1
17829,20,10,32,0,,
17830,20,11,48,0,1,0
17831,20,12,26,0,3,0
17832,20,10,35,0,3,1
17833,20,6,67,1,,
17834,20,12,44,0,4,3
17835,20,11,50,0,,
17837,20,10,38,1,,
17838,20,11,60,1,,
17839,20,11,34,1,4,0
17841,20,7,54,0,,
17843,20,8,43,0,,
17844,20,8,55,1,,
17845,20,9,68,0,,
17846,20,10,29,0,,
17847,20,6,52,0,2,2
17848,20,7,33,1,2,2
17849,20,13,75,1,,
17850,20,9,50,0,3,3
17851,20,11,29,0,,
17853,20,9,25,0,4,0
17854,20,3,46,1,,
17855,20,10,,0,,
17856,20,11,38,1,,
17857,20,4,56,1,,
17858,20,9,42,1,,
17859,20,11,37,0,,
17860,20,11,45,1,,
17862,20,10,64,1,,
17863,20,9,44,0,2,0
17864,20,10,58,0,1,1
17865,20,5,45,0,,
17866,20,10,53,1,1,0
17867,20,6,72,0,,
17868,20,10,67,1,,
17869,20,8,72,1,2,0
17870,20,11,17,1,1,1
17871,20,10,37,1,1,0
17872,20,12,29,0,,
17873,20,10,52,1,3,2
17874,20,8,50,0,3,1
17875,20,11,35,1,4,0
17877,20,11,53,1,2,1
17878,20,10,48,1,,
17879,20,10,66,1,2,1
17880,20,12,21,0,3,0
17882,20,9,57,0,2,2
17883,20,9,55,0,,
17884,20,9,52,1,,
17885,20,9,20,0,3,2
17886,20,9,21,0,,
17887,20,9,30,1,2,1
17888,20,9,53,1,4,3
17889,20,10,20,1,,
17890,20,12,23,1,4,2
17891,20,12,37,0,,
17897,20,11,15,0,,
17900,20,10,44,1,2,1
17901,20,11,33,1,,
17902,20,5,47,0,,
17903,20,12,16,1,3,1
17904,20,9,56,0,3,1
17905,20,11,22,1,3,1
17906,20,9,39,1,3,1
17908,20,13,53,1,3,3
17909,20,12,38,1,3,0
17910,20,13,44,0,,
17911,20,12,44,0,,
17913,20,12,45,1,3,2
17914,20,11,34,1,,
17915,20,13,52,1,2,3
17917,20,12,39,0,,
17918,20,12,35,0,,
17919,20,12,50,1,2,3
17920,20,11,69,0,,
17921,20,8,65,1,1,1
17922,20,10,52,0,,
17923,20,8,71,1,2,2
17925,20,10,41,0,1,2
17928,20,10,42,1,2,0
17929,20,10,59,1,,
17930,20,4,35,0,,
17931,20,12,18,1,,
17932,20,13,60,1,,
17933,20,8,43,1,,
17934,20,11,61,1,,
17935,20,8,26,0,3,1
17936,20,10,62,0,3,1
17937,20,10,37,1,,
17938,20,9,32,0,,
17939,20,6,59,0,,
17940,20,10,43,0,,
17941,20,11,32,0,2,3
17942,20,5,55,0,,
17946,20,10,24,1,4,1
17947,20,8,33,1,,
17949,20,11,19,0,,
17950,20,11,48,1,,
17951,20,11,50,1,,
17952,20,7,64,1,3,
17953,20,11,50,1,,
17954,20,12,23,0,,
17955,20,12,20,1,,
17956,20,11,45,0,3,1
17957,20,9,19,1,,
17958,20,12,52,1,,
17959,20,7,35,0,,
17960,20,11,44,1,,
17963,20,13,21,1,,
17964,20,12,20,1,3,2
17965,20,10,60,0,,
17966,20,11,53,0,,
17967,20,8,69,0,,
17968,20,7,61,1,,
17969,20,9,60,0,3,1
17970,20,9,62,0,,
17971,20,10,38,0,,
17972,20,5,42,0,3,2
17975,20,8,23,1,,
17976,20,10,40,0,,
17977,20,11,56,1,,
17979,20,13,57,0,,
17980,20,10,30,1,,
17981,20,10,69,0,,
17982,20,12,19,1,,
17983,20,11,43,0,4,0
17984,20,9,47,1,,
17986,20,7,68,0,3,3
17987,20,12,15,1,,
17988,20,11,,0,,
17989,20,9,32,1,4,4
17990,20,9,24,1,,
17991,20,5,60,0,,
17992,20,12,64,0,,
17994,20,8,28,0,,
17996,20,12,53,1,,
17997,20,10,22,0,3,1
17998,20,7,43,0,,
18000,20,10,18,0,,
18001,20,12,48,1,,
18002,20,10,48,1,1,2
18004,20,9,19,0,,
18005,20,11,45,1,1,2
18006,20,11,38,0,,
18008,20,11,27,0,3,0
18009,20,12,24,1,2,3
18013,20,5,26,0,,
18014,20,12,51,0,,
18015,20,12,42,1,2,1
18016,20,12,36,0,2,1
18017,20,12,32,0,,
18018,20,10,25,0,4,0
18019,20,9,30,1,,
18022,20,12,39,1,,
18023,20,10,15,0,3,1
18024,20,13,15,1,,
18029,20,10,15,0,2,1
18030,20,13,53,0,,
18032,20,9,65,1,,
18033,20,9,23,0,2,1
18034,20,10,29,0,,
18035,20,8,64,1,4,1
18036,20,5,65,0,,
18037,20,10,31,0,,0
18038,20,9,39,0,3,3
18039,20,10,45,1,,
18040,20,8,33,0,,
18042,20,9,19,0,2,2
18043,20,12,25,1,1,0
18044,20,10,19,1,,
18045,20,11,34,1,,
18046,20,11,61,1,3,1
18047,20,13,30,1,1,2
18048,20,12,54,1,,
18049,20,10,17,1,,
18050,20,12,60,0,3,1
18051,20,12,52,1,4,0
18052,20,8,69,0,3,3
18053,20,10,73,0,3,0
18054,20,11,54,1,4,1
18055,20,5,65,0,,
18056,20,9,50,0,1,2
18057,20,13,57,0,,
18059,20,7,61,1,,
18061,20,9,31,0,,
18062,20,13,60,0,3,1
18063,20,9,50,1,4,4
18067,20,11,35,0,,
18068,21,7,68,0,,
18069,21,7,55,1,,
18070,21,12,25,1,,
18072,21,6,69,0,,
18073,21,12,20,1,3,1
18074,21,11,52,0,2,1
18077,21,10,42,0,,
18078,21,9,20,0,,
18079,21,10,57,0,,
18081,21,9,36,1,,
18082,21,10,38,0,,
18084,21,11,23,0,,
18085,21,6,53,1,2,1
18087,21,10,69,0,3,0
18089,21,12,21,1,,
18090,21,7,33,1,,
18091,21,10,51,1,,
18092,21,9,44,1,,
18097,21,8,23,0,2,2
18100,21,7,46,0,,
18101,21,10,48,0,3,3
18103,21,6,70,1,1,4
18105,21,9,24,1,3,4
18106,21,12,18,0,,
18107,21,13,27,0,,
18108,21,11,51,1,3,1
18110,21,11,64,1,3,0
18112,21,6,27,0,3,1
18114,21,8,69,0,,
18115,21,11,72,0,3,3
18116,21,8,31,0,4,3
18117,21,6,70,0,2,2
18118,21,12,41,0,,
18119,21,9,53,0,,
18120,21,10,70,0,,
18121,21,10,43,0,3,3
18122,21,9,60,1,,
18123,21,5,73,0,3,1
18124,21,10,61,0,,
18125,21,7,49,1,3,2
18126,21,8,73,0,,
18127,21,10,50,0,2,1
18128,21,12,76,1,3,2
18129,21,5,36,1,,
18130,21,7,58,0,3,3
18131,21,10,33,0,3,2
18132,21,10,26,1,,
18135,21,11,56,0,3,1
18136,21,9,81,0,,
18138,21,9,68,1,,
18141,21,7,48,1,2,2
18145,21,9,23,0,3,1
18146,21,7,42,1,2,3
18147,21,11,48,1,3,3
18148,21,8,43,1,3,0
18149,21,13,56,0,2,0
18150,21,8,35,0,3,3
18151,21,10,65,1,2,1
18152,21,11,42,1,3,1
18160,21,8,28,0,,
18164,21,10,33,1,1,1
18165,21,9,54,0,,
18167,21,11,23,1,,
18177,21,6,26,1,2,0
18179,21,9,38,0,3,2
18181,21,9,52,1,,
18182,21,12,45,0,,
18183,21,13,17,0,,
18185,21,9,35,1,4,4
18189,21,12,35,1,1,1
18190,21,10,23,0,1,1
18191,21,9,67,0,3,1
18192,21,7,41,1,1,1
18193,21,10,17,0,1,2
18194,21,11,55,1,3,0
18195,21,13,57,1,2,1
18196,21,13,50,1,1,1
18197,21,12,43,0,1,1
18199,21,9,23,0,,
18200,21,9,58,0,,
18203,21,8,18,1,,
18204,21,9,76,0,,
18205,21,9,65,0,,
18206,21,12,18,0,,
18207,21,11,26,0,,
18208,21,10,36,1,3,1
18209,21,11,64,0,3,1
18210,21,12,54,0,3,3
18211,21,10,17,0,2,2
18212,21,10,48,0,2,1
18220,21,7,17,0,0,2
18222,21,6,48,0,0,0
18224,21,10,24,0,,
18226,21,10,17,1,,
18229,21,7,32,0,,
18233,21,13,50,1,1,3
18239,21,10,23,1,,
18243,21,9,62,0,,
18245,21,13,61,1,,
18246,21,7,35,0,,
18249,21,12,47,0,,
18250,21,6,43,1,,
18253,21,9,69,1,,
18257,21,5,33,1,,
18260,21,10,58,1,1,0
18264,21,8,61,1,0,1
18265,21,6,32,0,,
18267,21,10,46,1,,
18268,21,5,41,0,,
18270,21,10,38,0,,
18271,21,9,76,1,,
18272,21,9,28,0,,
18275,21,10,63,0,,
18277,21,9,63,0,,
18278,21,11,20,0,4,0
18280,21,7,29,0,4,3
18281,21,9,41,0,,
18285,21,11,47,0,,
18287,21,5,20,0,,
18288,21,6,74,1,4,4
18289,21,11,23,1,1,1
18290,21,10,45,1,4,4
18291,21,10,55,0,4,4
18292,21,11,71,1,3,3
18295,21,9,70,0,,1
18296,21,8,34,0,4,2
18297,21,10,45,0,0,0
18298,21,13,41,0,,
18301,21,11,57,1,1,1
18303,21,9,54,0,,0
18304,21,7,38,0,,
18305,21,4,52,0,,
18308,21,11,20,0,,
18309,21,5,44,0,3,1
18311,21,8,29,1,1,1
18316,21,8,17,1,,
18324,21,13,55,0,,
18325,21,11,18,0,,
18329,21,11,59,0,,
18331,21,12,47,0,3,1
18333,21,5,55,0,,
18334,21,12,21,0,,
18335,21,10,24,0,,
18336,21,13,25,0,,
18337,21,11,18,1,,
18338,21,6,72,0,4,4
18339,21,8,22,0,2,1
18343,21,9,81,1,4,3
18344,21,5,57,0,3,1
18345,21,7,66,1,,1
18347,21,4,17,0,1,2
18349,21,11,55,1,,
18350,21,7,21,0,,
18351,21,6,66,0,,
18354,21,13,39,0,2,0
18355,21,11,38,0,3,0
18356,21,7,51,0,4,1
18357,21,11,28,1,0,4
18358,21,9,39,0,2,0
18363,21,9,19,0,,
18365,21,8,38,0,2,0
18366,21,4,31,1,3,0
18368,21,8,18,0,4,
18371,21,9,25,1,,
18374,21,10,65,0,,
18376,21,9,50,0,3,1
18378,21,10,34,0,,
18379,21,5,68,1,,
18380,21,11,54,1,,
18381,21,12,59,0,,
18384,21,12,51,1,,
18385,21,10,46,0,,
18386,21,7,62,0,,
18390,21,11,18,1,1,3
18393,21,8,31,1,3,3
18394,21,8,43,1,2,1
18397,21,8,68,0,2,
18398,21,8,33,0,3,1
18400,21,9,25,1,3,0
18401,21,7,67,1,3,1
18407,21,8,59,0,,1
18409,21,4,51,0,,
18413,21,5,55,0,2,1
18418,21,10,56,1,,
18420,21,8,35,0,,
18423,21,9,53,0,,
18427,21,8,17,0,,
18432,21,9,52,0,,
18433,21,6,93,0,1,2
18434,21,9,24,0,3,1
18435,21,11,29,0,2,0
18436,21,10,68,1,0,1
18437,21,9,39,0,2,0
18438,21,6,57,0,,
18439,21,8,73,1,,
18441,21,11,16,1,2,3
18442,21,12,27,0,4,1
18443,21,13,34,0,1,3
18444,21,10,42,0,0,1
18445,21,7,44,0,0,2
18448,21,10,16,0,3,2
18449,21,7,47,1,2,0
18450,21,10,18,1,,
18451,21,9,15,0,4,0
18452,21,8,74,0,2,0
18453,21,7,61,0,2,1
18455,21,10,26,1,4,0
18456,21,9,25,1,1,3
18457,21,12,39,0,4,3
18461,21,12,36,0,,
18463,21,4,61,1,,
18464,21,3,48,0,,
18465,21,10,44,0,,
18466,21,8,31,0,,
18468,21,3,44,0,,
18469,21,7,16,0,,
18470,21,7,26,0,,
18472,21,6,50,1,3,0
18474,21,8,39,0,,
18475,21,11,46,0,,
18476,21,9,15,1,,
18477,21,10,26,1,,
18478,21,8,24,1,,
18479,21,7,37,0,,
18480,21,6,16,1,3,3
18482,21,10,44,1,3,1
18483,21,6,66,0,3,0
18485,21,11,27,1,1,1
18486,21,5,56,0,0,3
18487,21,10,15,0,2,3
18488,21,10,24,1,2,1
18489,21,8,17,0,0,0
18490,21,12,43,1,,
18491,21,10,56,0,,
18492,21,10,48,0,,
18493,21,11,20,1,,
18495,21,10,62,0,3,0
18497,21,7,64,0,,
18499,21,11,47,1,2,1
18500,21,7,58,0,3,0
18501,21,8,59,0,2,0
18502,21,8,38,1,,
18504,21,8,54,1,,
18505,21,7,22,0,2,3
18506,21,10,20,0,,
18511,21,13,20,1,3,0
18512,21,13,16,1,3,0
18519,21,12,38,1,,
18523,21,11,24,1,1,1
18527,21,8,71,0,,
18528,21,7,17,0,,
18529,21,10,20,1,,
18531,21,11,71,1,,
18532,21,12,64,0,,
18534,21,10,64,0,0,0
18535,21,6,47,0,,
18536,21,10,28,0,,
18537,21,11,65,0,,
18538,21,7,67,0,,
18539,21,7,20,1,4,4
18540,21,10,28,0,,
18541,21,8,50,0,,
18544,21,13,54,1,,
18545,21,6,68,0,,
18546,21,5,45,0,,
18548,21,8,40,1,,
18551,21,10,29,1,4,2
18552,21,11,35,0,4,2
18554,21,7,49,1,0,1
18557,21,10,51,1,0,3
18558,21,9,47,1,,
18560,21,5,17,1,,
18561,21,10,66,1,,
18562,21,7,59,0,,
18563,21,7,56,1,,
18564,21,5,30,0,,
18566,21,11,22,1,,
18568,21,9,47,1,,
18569,21,6,52,1,,
18570,21,13,47,0,3,0
18575,21,11,54,0,1,2
18577,21,10,52,0,1,1
18579,21,9,59,0,3,2
18581,21,7,45,0,,
18582,21,11,56,1,,
18583,21,11,62,0,,
18584,21,13,35,0,,
18585,21,12,73,0,3,0
18586,21,11,30,0,1,2
18587,21,10,61,0,3,2
18589,21,11,40,1,3,2
18591,21,8,21,0,,
18592,21,5,59,0,,
18593,21,9,70,0,,
18594,21,6,31,0,,
18598,21,6,67,1,2,1
18603,21,11,53,0,3,1
18604,21,10,35,1,4,0
18608,21,11,56,0,,
18610,21,7,28,0,,
18611,21,10,45,0,,
18612,21,12,63,0,,
18613,21,7,33,0,,
18614,21,8,42,0,,
18615,21,10,48,1,,
18616,21,5,55,0,,
18619,21,11,55,1,,
18621,21,10,29,0,1,1
18623,21,5,69,0,4,1
18624,21,6,63,1,3,1
18625,21,12,35,0,2,1
18626,21,11,31,1,,0
18627,21,12,31,1,1,0
18628,21,10,18,0,2,1
18629,21,9,69,0,3,3
18630,21,7,49,1,4,1
18631,21,10,43,0,1,1
18632,21,7,37,0,,
18633,21,7,57,0,,
18635,21,10,49,0,,
18636,21,10,38,0,,
18637,21,12,18,1,1,3
18638,21,10,35,1,2,2
18640,21,10,68,1,,
18642,21,3,54,0,1,4
18644,21,11,21,0,3,1
18645,21,7,76,0,,
18646,21,7,67,0,,
18648,21,11,18,1,,
18649,21,11,24,1,,
18654,21,7,44,0,,
18657,21,11,57,0,4,0
18659,21,5,48,0,4,0
18660,21,10,37,0,2,0
18661,21,5,61,0,4,3
18662,21,13,62,0,1,0
18664,21,10,65,1,2,0
18666,21,9,42,0,0,0
18668,21,12,16,0,2,2
18671,21,10,36,0,,
18672,21,11,47,0,,
18675,21,12,20,1,,
18676,21,8,58,1,,
18677,21,9,17,1,,
18678,21,10,20,0,,
18679,21,5,62,0,,0
18680,21,4,20,1,3,3
18681,21,3,40,1,3,3
18682,21,3,52,0,,
18683,21,1,51,1,4,4
18684,21,5,23,1,3,3
18686,21,2,26,0,3,3
18688,21,8,61,1,,
18689,21,6,17,1,,
18690,21,5,33,0,,
18692,21,10,57,0,3,3
18699,21,8,20,1,,
18700,21,6,46,1,,
18703,21,9,45,0,,
18708,21,8,23,0,3,3
18712,21,9,65,0,,
18714,21,9,74,1,,
18715,21,7,60,1,,
18716,21,10,66,1,3,1
18717,21,10,65,1,,
18718,21,10,50,0,2,2
18719,21,8,37,1,,
18720,21,11,38,1,3,3
18722,21,12,73,0,,
18723,21,9,53,1,3,3
18724,21,9,63,0,,
18726,21,10,16,1,2,1
18729,21,10,64,0,,
18730,21,11,55,1,,
18731,21,10,51,1,4,4
18732,21,7,37,1,2,3
18733,21,10,39,1,4,3
18734,21,8,54,0,1,1
18735,21,7,51,0,3,1
18736,21,5,23,0,,
18738,21,9,58,0,,
18740,21,8,49,0,,
18742,21,11,20,1,1,1
18744,21,6,29,1,4,3
18745,21,11,19,1,3,0
18746,21,7,65,0,,
18747,21,9,35,0,,
18749,21,9,67,0,,
18751,21,11,44,0,2,1
18754,21,9,15,1,2,1
18755,21,10,69,1,3,1
18756,21,9,65,0,2,3
18757,21,11,37,0,2,1
18758,21,11,80,0,2,3
18759,21,9,48,0,3,3
18760,21,5,45,0,,
18761,21,7,59,1,1,2
18762,21,9,59,0,,
18763,21,9,66,0,,
18764,21,10,25,1,,
18766,21,11,50,1,2,1
18767,21,10,33,1,1,1
18768,21,7,54,1,3,1
18769,21,10,79,1,1,3
18770,21,11,49,0,3,2
18771,21,8,79,0,,
18774,21,9,72,0,,
18776,21,10,52,0,3,3
18784,21,11,64,0,0,1
18788,21,7,43,1,,
18791,21,9,17,1,3,0
18794,21,7,61,1,,
18795,21,11,41,0,,
18799,21,10,69,1,0,0
18801,21,12,58,1,,
18803,21,9,57,0,,
18806,21,7,49,0,4,1
18807,21,9,30,0,3,1
18809,21,12,34,0,0,0
18810,21,11,35,0,3,0
18812,21,9,54,0,,1
18813,21,4,65,0,,
18815,21,10,41,0,2,0
18817,21,10,40,1,,
18819,21,5,56,0,4,
18823,21,4,45,0,,
18825,21,9,30,1,,
18826,21,12,15,1,3,1
18827,21,9,65,1,,
18828,21,11,70,1,,
18829,21,9,72,0,,
18830,21,7,34,0,,
18831,21,8,41,1,2,1
