birthmonth,height,eyecolour,catdog,threewords,year,course,in_uk,gender,optimism,spirituality,ampm,sleeprating,extraversion,agreeableness,conscientiousness,emot_stability,imagination,loc,phone_unlocks,caffeine,caffeine_type,procrastination,multitasking
oct,161,brown,dog,,2023,usmr,,,,,Evening person,100,,,,,,,16,6,coffee,0,0
may,165,brown,dog,"Shy, Rational, Thoughtful",2023,usmr,,,,,Evening person,36,,,,,,,17,1,other,87,89
sep,174,other,cat,non-slef existence,2023,usmr,,,,,Evening person,89,,,,,,,,0.3,coffee,45,33
may,163,brown,dog,"curious, kind, patient",2023,usmr,,,,,Evening person,88,,,,,,,90,1,coffee,60,65
jan,177,blue,dog,i'm not sure,2023,usmr,,,,,Morning person,72,,,,,,,54,5,coffee,35,55
oct,185,brown,cat,Reliable steady practical,2023,usmr,,,,,Evening person,30,,,,,,,94,4,coffee,60,30
jun,178,brown,cat,Poet Occultist Communist,2023,usmr,,,,,Evening person,80,,,,,,,100,2,soft drinks (e.g. cola),50,50
feb,157,brown,dog,"Creative, curious and open-minded",2023,usmr,,,,,Evening person,70,,,,,,,67,2,coffee,60,55
jul,166,blue,dog,,2023,usmr,,,,,Evening person,80,,,,,,,,1,coffee,50,60
feb,170.18,blue,dog,"confident, friendly, outgoing",2024,usmr,,,,,Morning person,75,,,,,,,,2,coffee,80,85
may,165,blue,cat,accepting curious stressed,2024,usmr,,,,,Evening person,30,,,,,,,27,2,coffee,60,40
jan,182,brown,cat,"Nerdy, Aloof, Friendly",2024,usmr,,,,,Evening person,75,,,,,,,214,3,energy drinks,75,80
apr,164,green,cat,"travel, fun, peace",2024,usmr,,,,,Evening person,35,,,,,,,33,1,other,80,75
mar,161,brown,cat,"cats, travel, love",2024,usmr,,,,,Evening person,30,,,,,,,85,2,coffee,20,80
apr,173.5,brown,cat,3 isn't enough,2024,usmr,,,,,Evening person,78,,,,,,,,2,coffee,45,50
nov,163,brown,dog,"Ambitious, Intelligent, Compassionate",2024,usmr,,,,,Evening person,60,,,,,,,185,1,coffee,90,23
aug,158,brown,cat,"Extroverted, easygoing, adventurous",2024,usmr,,,,,Evening person,90,,,,,,,151,0.1,coffee,50,40
aug,167,brown,dog,curious quiche enjoyer,2024,usmr,,,,,Evening person,90,,,,,,,107,1,tea,65,75
nov,180,blue,cat,"curious, empathetic, cheerful",2024,usmr,,,,,Morning person,80,,,,,,,,1,tea,30,30
oct,157.5,blue,dog,"Organized, friendly, passionate",2024,usmr,,,,,Morning person,8,,,,,,,208,2,coffee,90,90
mar,179,blue,dog,,2024,usmr,,,,,Morning person,75,,,,,,,,2,coffee,75,75
jun,172,brown,cat,"determination, relentless, chill",2024,usmr,,,,,Morning person,80,,,,,,,20,1,tea,70,80
nov,154,brown,cat,,2024,usmr,,,,,Evening person,70,,,,,,,,1,coffee,50,50
feb,,brown,cat,"tired, anxious, determined",2024,usmr,,,,,Evening person,48,,,,,,,73,1,tea,4,32
may,158,brown,cat,"Creative, Reserved, Adaptable",2024,usmr,,,,,Evening person,75,,,,,,,15,1,coffee,50,60
jun,167,brown,cat,"Tenacious, stubborn, funny",2024,usmr,,,,,Evening person,65,,,,,,,186,2,coffee,25,75
jun,171,blue,cat,"curious, excitable, anxious",2024,usmr,,,,,Morning person,70,,,,,,,,2,coffee,20,30
jun,152,brown,dog,"cheerful, quiet, unique",2024,usmr,,,,,Evening person,70,,,,,,,,2,coffee,25,70
dec,176,green,cat,"funny, ambitious, curious",2024,usmr,,,,,Evening person,50,,,,,,,138,2,coffee,60,85
apr,165,blue,dog,"Friendly, Organised, Hard-Working",2024,usmr,,,,,Morning person,90,,,,,,,106,2,tea,85,80
oct,155.7528,blue,cat,"Confusing, fun, inquisitive",2024,usmr,,,,,Evening person,65,,,,,,,185,3,coffee,40,70
apr,164,green,cat,"Sociable, adventurous, curious",2024,usmr,,,,,Evening person,40,,,,,,,159,1,coffee,40,90
jan,157,brown,dog,"kind, sweet and hard working",2024,usmr,,,,,Morning person,75,,,,,,,,1,coffee,75,40
sep,161.5,brown,cat,"lazy, cold, hungry",2024,usmr,,,,,Evening person,67,,,,,,,,1,coffee,1,50
nov,157.48,green,cat,"ambitious, thoughtful, anxious",2024,usmr,,,,,Evening person,75,,,,,,,187,1,coffee,60,75
jun,164,brown,dog,"chatty, stylish, funny",2024,usmr,,,,,Evening person,95,,,,,,,74,0,i don't drink caffeine,20,60
jul,168,green,dog,"Kind, funny, loyal",2024,usmr,,,,,Morning person,65,,,,,,,219,0,i don't drink caffeine,60,25
dec,146,brown,dog,"chill, beer, and extra-small",2024,usmr,,,,,Morning person,80,,,,,,,124,2,coffee,70,70
nov,186,brown,dog,resourceful responsible strong,2024,usmr,,,,,Evening person,50,,,,,,,,0,i don't drink caffeine,80,50
dec,180,brown,dog,"kind, emotional, fair",2024,usmr,,,,,Evening person,90,,,,,,,94,2,coffee,40,90
mar,172,brown,dog,Relaxed Rational Observant,2024,usmr,,,,,Morning person,86,,,,,,,73,1,coffee,42,76
nov,172,brown,dog,"peaceful, resilient, high self-demand",2024,usmr,,,,,Morning person,90,,,,,,,7.5,0,i don't drink caffeine,10,70
aug,177.8,brown,dog,"Perseverant, awkward, attentive",2024,usmr,,,,,Evening person,56,,,,,,,90,2,tea,20,70
apr,161,brown,cat,introverted interesting energetic,2024,usmr,,,,,Morning person,90,,,,,,,8,0,coffee,70,40
dec,171,green,cat,"enthusiastic, sensitive, funny",2024,usmr,,,,,Morning person,88,,,,,,,222,3,coffee,20,10
mar,180,blue,dog,"Extroverted, optimistic, friendly!",2024,usmr,,,,,Evening person,80,,,,,,,175,3,energy drinks,50,90
aug,163,brown,cat,"weird, passionate, calm",2024,usmr,,,,,Evening person,45,,,,,,,44,1,tea,55,60
feb,155,brown,cat,Assertive Responsible Friendly,2024,usmr,,,,,Evening person,70,,,,,,,,2,soft drinks (e.g. cola),50,80
oct,160,brown,dog,"Responsible, neat, careful",2024,usmr,,,,,Evening person,80,,,,,,,30,0,i don't drink caffeine,50,30
mar,177,brown,,Kind interesting Introvert,2024,usmr,,,,,Evening person,90,,,,,,,10,1,energy drinks,50,50
apr,173,blue,dog,"curious, sleepy, silly",2024,usmr,,,,,Morning person,90,,,,,,,137,1,coffee,50,80
mar,172,brown,dog,"elegant, calm, introvert",2024,usmr,,,,,Morning person,90,,,,,,,,1,coffee,20,85
nov,184,brown,cat,warm friendly rational,2024,usmr,,,,,Evening person,90,,,,,,,100,1,coffee,90,70
apr,157.8,hazel,dog,"Lazy, funny, caring",2024,usmr,,,,,Evening person,80,,,,,,,,1,tea,15,68
nov,170,brown,cat,Can't drink milk,2024,usmr,,,,,Evening person,70,,,,,,,70,0,soft drinks (e.g. cola),30,70
dec,160,brown,cat,"GOOD,NOT BAD",2024,usmr,,,,,Evening person,65,,,,,,,30,1,soft drinks (e.g. cola),0,65
oct,159,brown,cat,"Fun, shy, amusing",2024,usmr,,,,,Morning person,70,,,,,,,50,0,i don't drink caffeine,80,50
aug,164,brown,dog,,2024,usmr,,,,,Morning person,90,,,,,,,15,1,tea,50,60
dec,165,brown,dog,,2024,usmr,,,,,Evening person,90,,,,,,,66,2,tea,10,39
jun,,brown,cat,introversion  intuition thinking,2024,usmr,,,,,Evening person,3,,,,,,,,1,energy drinks,3,5
sep,162,blue,dog,,2024,usmr,,,,,Morning person,70,,,,,,,30,3,tea,70,40
sep,178,brown,dog,"Excited, Eager, Motivated",2024,usmr,,,,,Evening person,49,,,,,,,,0,coffee,68,88
jun,160,brown,dog,"sushilover, workaholic, diver",2024,usmr,,,,,Morning person,80,,,,,,,,1,tea,55,70
may,175,blue,dog,"funny, smart, anxious",2024,usmr,,,,,Evening person,75,,,,,,,,1,tea,68,83
feb,167.64,brown,dog,"Quiet, indecisive, patient",2024,usmr,,,,,Evening person,45,,,,,,,116,4,coffee,25,50
aug,183,blue,dog,"calm, adventurous, observant",2024,usmr,,,,,Morning person,80,,,,,,,,1,coffee,50,75
jul,165,brown,dog,"attentive, anxious, organised",2024,usmr,,,,,Evening person,65,,,,,,,7,0,soft drinks (e.g. cola),25,30
may,192,blue,cat,imaginative energetic sensitive,2024,usmr,,,,,Evening person,65,,,,,,,110,2,energy drinks,20,15
apr,166,other,dog,"easy-going,curious,happy",2024,usmr,,,,,Evening person,75,,,,,,,25,2,soft drinks (e.g. cola),20,70
feb,151,blue,cat,"talkative, sweet, friendly",2024,usmr,,,,,Evening person,70,,,,,,,89,0,tea,60,40
jan,163,brown,cat,"cute, anxious, boring",2024,usmr,,,,,Evening person,68,,,,,,,223,1,coffee,18,52
