I need a bit of encouragement to get things started,I contact my friends,I express my emotions,I think of new things to do during the day,I am concerned about how my family feel,I find myself staring in to space,Before I do something I think about how others would feel about it,I plan my days activities in advance,When I receive bad news I feel bad about it,I am unable to focus on a task until it is finished,I lack motivation,I struggle to empathise with other people,I set goals for myself,I try new things,I am unconcerned about how others feel about my behaviour,I act on things I have thought about during the day,"When doing a demanding task, I have difficulty working out what I have to do",I keep myself busy,I get easily confused when doing several things at once,I become emotional easily when watching something happy or sad on TV,I find it difficult to keep my mind on things,I am spontaneous,I am easily distracted,I feel indifferent to what is going on around me
Hardly Ever,Often,Occasionally,Always,Almost Always,Almost Always,Often,Almost Always,Almost Always,Often,Occasionally,Occasionally,Almost Always,Often,Occasionally,Almost Always,Hardly Ever,Almost Always,Occasionally,Almost Always,Occasionally,Always,Often,Often
Occasionally,Hardly Ever,Occasionally,Almost Always,Occasionally,Occasionally,Often,Always,Hardly Ever,Occasionally,Occasionally,Almost Always,Often,Occasionally,Hardly Ever,Occasionally,Often,Occasionally,Often,Occasionally,Occasionally,Almost Always,Hardly Ever,Often
Occasionally,Hardly Ever,Always,Hardly Ever,Often,Occasionally,Occasionally,Never,Occasionally,Often,Occasionally,NA,Almost Always,Almost Always,NA,Hardly Ever,Often,Hardly Ever,Almost Always,Occasionally,Occasionally,Almost Always,Often,Often
Occasionally,Often,Occasionally,Often,Often,Occasionally,Almost Always,Almost Always,Occasionally,Almost Always,NA,Often,Often,Often,Hardly Ever,Occasionally,Occasionally,Almost Always,NA,Occasionally,Occasionally,Almost Always,Hardly Ever,Almost Always
Often,Occasionally,Often,Almost Always,Often,Often,Almost Always,Often,Occasionally,Hardly Ever,Occasionally,Occasionally,Hardly Ever,Occasionally,Occasionally,Often,Often,Never,Always,Occasionally,Occasionally,Often,Hardly Ever,Never
Occasionally,Often,Often,Always,Often,Occasionally,Often,Often,Often,Almost Always,Hardly Ever,Often,Occasionally,Almost Always,Occasionally,Occasionally,Often,Almost Always,Occasionally,Never,Occasionally,Almost Always,Hardly Ever,Always
Often,Often,Almost Always,Often,Hardly Ever,Almost Always,Often,Always,Often,Almost Always,Hardly Ever,Occasionally,Occasionally,Often,Occasionally,Almost Always,Hardly Ever,Always,Often,Occasionally,Hardly Ever,Almost Always,Occasionally,Hardly Ever
Hardly Ever,Occasionally,Often,Often,Occasionally,Occasionally,Often,Almost Always,Almost Always,Almost Always,Occasionally,Occasionally,Often,Often,Occasionally,Almost Always,Occasionally,Almost Always,Hardly Ever,Often,Hardly Ever,Often,Hardly Ever,Never
Often,Occasionally,Occasionally,Always,Occasionally,Almost Always,Almost Always,Hardly Ever,Almost Always,Often,Often,Occasionally,Almost Always,Occasionally,Occasionally,Often,Occasionally,Occasionally,Occasionally,Almost Always,Occasionally,Often,Occasionally,Hardly Ever
Almost Always,Hardly Ever,Occasionally,Never,Often,Almost Always,Almost Always,Occasionally,Almost Always,Often,Often,Occasionally,Almost Always,Never,Occasionally,Often,Almost Always,Never,Always,Often,Always,Often,Often,Hardly Ever
Often,Occasionally,Occasionally,Often,Occasionally,Occasionally,Almost Always,Almost Always,Hardly Ever,Often,Often,Almost Always,Occasionally,Almost Always,Often,Often,Occasionally,Occasionally,Occasionally,NA,NA,Occasionally,Almost Always,Occasionally
Occasionally,Hardly Ever,Occasionally,Often,Occasionally,Often,Almost Always,Always,Occasionally,Often,Occasionally,Occasionally,Often,Often,Almost Always,Often,Often,Often,Often,Occasionally,Often,Often,Always,Almost Always
Often,Occasionally,NA,Occasionally,Often,Almost Always,Often,Occasionally,Always,Occasionally,Often,Often,Occasionally,NA,Occasionally,Occasionally,Occasionally,Often,Often,Often,Often,Always,Almost Always,Occasionally
Almost Always,Occasionally,Often,Often,Often,Almost Always,Often,Occasionally,Occasionally,Occasionally,Almost Always,Occasionally,Never,Hardly Ever,Hardly Ever,Occasionally,Always,Hardly Ever,Almost Always,Occasionally,Often,Occasionally,Almost Always,Occasionally
Hardly Ever,Often,Occasionally,Almost Always,Occasionally,Often,Often,Occasionally,Occasionally,Often,Hardly Ever,Often,Almost Always,Almost Always,Occasionally,Occasionally,Hardly Ever,Often,Hardly Ever,Hardly Ever,Hardly Ever,Almost Always,Occasionally,Occasionally
Never,Occasionally,Almost Always,Almost Always,Often,Often,Almost Always,Always,Occasionally,Almost Always,Never,Occasionally,Often,Almost Always,Occasionally,Almost Always,Occasionally,Almost Always,Never,Often,Often,Almost Always,Occasionally,Never
Occasionally,Occasionally,Almost Always,Occasionally,Often,Occasionally,Always,Almost Always,Almost Always,Almost Always,Often,Occasionally,Occasionally,Hardly Ever,Occasionally,Often,Often,Occasionally,Often,Occasionally,Occasionally,Occasionally,Hardly Ever,Occasionally
Occasionally,Hardly Ever,Occasionally,Occasionally,Never,Occasionally,Occasionally,Occasionally,Often,Occasionally,Almost Always,Almost Always,Hardly Ever,Hardly Ever,Almost Always,Occasionally,Occasionally,Often,Almost Always,Hardly Ever,Hardly Ever,Occasionally,Occasionally,Always
Occasionally,Often,Often,Often,Often,Almost Always,Almost Always,Hardly Ever,Occasionally,Occasionally,Often,Often,Never,Hardly Ever,Hardly Ever,Often,Often,Often,Occasionally,Often,Occasionally,Often,Often,Occasionally
Often,Often,Almost Always,Almost Always,Almost Always,Often,Often,Always,Often,Hardly Ever,Often,Never,Hardly Ever,Often,Hardly Ever,Often,Often,Often,Often,Often,Often,Often,Hardly Ever,Occasionally
Hardly Ever,Often,Often,Often,Often,Occasionally,Almost Always,Often,Often,Often,Never,Occasionally,Almost Always,Always,Occasionally,Often,Occasionally,Often,Occasionally,Often,Hardly Ever,Almost Always,Hardly Ever,Often
Occasionally,Occasionally,Almost Always,Hardly Ever,Occasionally,Occasionally,Often,Almost Always,Occasionally,Often,Almost Always,Almost Always,Almost Always,Almost Always,Occasionally,Occasionally,Occasionally,Hardly Ever,Almost Always,Never,Often,Often,Often,Often
Often,Never,Often,Occasionally,Almost Always,Often,Hardly Ever,Often,Occasionally,Often,Occasionally,Often,Occasionally,Almost Always,Often,Almost Always,Often,Occasionally,Almost Always,Often,Often,[NO ENTRY],Occasionally,Almost Always
Occasionally,Often,Often,Never,Occasionally,Occasionally,Often,Always,Often,Hardly Ever,Almost Always,Occasionally,Often,Often,Occasionally,Hardly Ever,Occasionally,Occasionally,Occasionally,Often,Almost Always,Occasionally,Often,Occasionally
Often,Hardly Ever,Often,Almost Always,Often,Hardly Ever,Almost Always,Almost Always,Often,Hardly Ever,Occasionally,Often,Occasionally,Occasionally,Occasionally,Often,Often,Often,Often,Often,Often,Almost Always,Often,Occasionally
Almost Always,Occasionally,Often,Occasionally,Occasionally,Often,Almost Always,Often,Almost Always,Often,Often,Occasionally,Almost Always,Occasionally,Occasionally,Occasionally,Occasionally,Almost Always,Often,Occasionally,Never,Almost Always,Often,Hardly Ever
